,label,41_3.21,93_4.48,77_4.55,91_4.76,136_5.44,93_5.5,57_5.56,57_5.7,93_5.77,59_5.89,67_6.17,93_6.32,119_6.71,109_6.76,68_6.83,93_7.06,93_7.38,105_18.73,119_19.76,81_20.11,161_20.32,93_21.54,161_23.95,119_24.92
F07AC_2,F07,15833.13281,1151312.476,259612.627,42339.05409,176057.3423,383955.4066,3178383.7,223350.199,206668.2557,453278.9655,61218.31836,172733.4992,242039.6103,61286.02402,109053.2425,74289.19563,200963.4352,11053.1673,33875.98116,43815.88836,40138.8766,294124.053,87490.96992,39895.69109
F07AU_1,F07,674.2033594,1666979.628,374439.1731,93629.05705,249441.3294,605216.5208,2860499.326,36336.3276,235446.2527,443660.7995,70981.84029,140673.6363,430463.0691,108490.9646,118676.952,174908.2933,214880.187,36704.33763,63533.60409,116967.4943,36757.52471,392605.6054,128725.1076,59036.72309
F07AU_2,F07,3864.138623,1238728.654,277287.8483,62590.98966,165288.1802,421818.0436,4129528.265,10885.76382,49697.9594,556100.3802,29430.47594,76650.69996,253777.3224,67159.96494,117967.3789,79752.15737,2833.086665,11644.24021,22206.54495,68663.22153,23935.58541,75534.78535,74843.62742,31968.40568
F07MB_1,F07,22058.44155,781773.5606,171205.9661,46895.41228,86013.00962,206463.3117,4330172.027,25174.51464,153904.015,405351.2564,53965.47939,50699.22081,129630.1014,51377.15735,62083.52703,120921.1304,5983.480397,8738.750528,25185.60841,40974.31567,32255.74919,349582.007,113255.1951,48733.25482
F07MB_2,F07,14950.62593,1450680.812,290718.3599,62708.35828,160187.9106,460745.5488,3645489.048,16155.22864,182869.2209,530441.5047,40085.11697,116618.8633,465070.9713,64239.45829,136438.3157,115695.4076,1.035515084,41272.81641,69360.26425,98358.18518,64009.71968,491965.1734,89436.48883,68408.74226
F07MC_1,F07,1852.984679,1437578.071,360021.2788,46166.42164,208991.3464,499512.9913,2037468.317,8736.236189,234551.5474,311478.6786,49009.24763,181932.5086,265724.6402,54498.29898,158407.167,85492.83565,92919.10311,13097.29628,47730.32601,42393.5379,50411.73318,388955.1899,154082.5755,47174.03066
F07MU_1,F07,15537.70164,811913.9876,188909.4288,33022.01496,108592.987,248423.1504,3727359.322,25759.3742,95674.20936,546062.4904,47205.40749,92798.97579,136801.1579,28441.5095,71579.08211,164992.2832,20341.74366,10506.93688,34048.82244,37478.99609,38976.06275,300628.5511,120022.8225,47224.17803
F07MU_2,F07,17009.77603,1458834.846,338148.2038,43288.95658,203900.0355,451791.4096,2942699.461,276755.2828,189658.8646,441858.4019,51191.75555,93656.98366,257822.4759,37986.06337,125710.7638,101104.6515,2124.918516,10136.25861,36518.75654,37373.43805,37688.19563,51700.69264,56302.82261,25005.72379
F08AB_1,F08,6768.894781,1095910.657,256295.988,34421.90425,170227.19,382910.5745,2741288.315,11473.82103,70853.07838,421651.3385,65176.59678,1.064636972,545860.2992,47222.53422,167075.2541,368192.9273,262039.4979,11120.61847,35618.87814,38898.71972,42903.69406,374361.9177,142796.4664,30447.82632
F08AB_2,F08,9249.578209,2045883.608,466397.4992,49389.56749,241486.7242,585532.0892,2256406.108,45845.14912,324386.0224,414976.481,33424.30834,349083.769,346602.5151,30919.2915,117721.3897,117050.8125,111839.0424,30089.92588,53308.51415,51673.92198,44727.03739,448775.4182,157554.2651,31910.96505
F08AC_1,F08,1786.05991,1316988.366,298630.3734,20105.38376,210305.5546,424689.8072,2807328.855,12356.81261,177597.7208,251955.9723,38961.44747,86569.4493,153268.5428,20865.43566,116250.6401,56962.50085,133567.6207,8604.691942,26814.20511,16244.62692,45112.39775,132769.6061,112706.7917,17223.18708
F08AC_2,F08,1690.951523,613366.5306,131640.5983,22156.39041,59722.5503,139853.438,2878185.954,20830.27506,406351.8245,229910.5543,12727.11891,175429.3153,33264.38428,21308.08087,19603.0325,69644.97836,1.013774023,6295.211396,17501.64825,10461.74676,27448.86537,233481.684,91940.05678,14168.99112
F08AN_1,F08,7336.676841,874719.2018,201088.6566,20429.57858,134123.3477,269572.8602,1933902.054,143251.4928,121522.569,296726.0664,6228.190123,63054.62105,98467.58797,16253.10602,67297.08864,55549.12285,25264.80536,6572.68709,20437.50884,14310.41591,33051.64747,282019.1916,96002.05239,18528.63921
F08AN_2,F08,11675.63994,808692.3767,186466.7689,18519.63992,125153.6216,269959.9874,2136434.11,34223.84648,114591.1807,504614.1257,18543.23175,43377.88548,74962.43156,19276.21943,70716.94047,45233.2551,15853.46815,4592.950915,14435.46231,11656.5048,21381.54562,64813.38817,82599.70747,15693.42564
F08AU_1,F08,11502.87291,742087.0836,165618.578,67515.57398,91013.44384,216786.9085,4668434.514,13460.75459,126105.8413,869048.5601,61398.74592,429716.8094,195802.1173,95676.41832,53608.07022,71600.27071,2323.69113,7496.469469,21902.55192,51322.11577,17417.78487,164514.1737,51071.75105,29289.64567
F08AU_2,F08,12045.64501,820892.8136,183418.5915,71230.79848,99434.17554,250209.8023,4629396.917,18861.55134,105808.1809,473572.5594,60189.80954,109376.8582,301065.9529,84546.65282,71155.35223,85413.25961,1.019025501,7646.07852,21407.9317,49130.63717,17517.35515,89103.87647,46380.02644,23988.95133
F08MB_1,F08,1427.388326,1345737.206,281165.9296,46347.98253,174353.2817,414854.2162,2850120.338,36671.43145,178892.0276,311399.922,23002.00873,114194.8086,229395.5424,41689.37316,101652.153,73225.93058,40520.59835,22751.7882,38204.47391,34173.16283,21187.35283,360025.6489,125049.4531,26453.49872
F08MB_2,F08,7751.60157,606907.4771,142430.4674,39121.79368,64795.49069,177526.0968,3342001.492,10424.87107,52341.28082,557587.3964,5698.549184,95962.36546,69838.74526,39507.93851,30081.90752,82532.09328,1909.021608,9995.356095,34794.13048,33851.06076,43562.11638,409831.8736,150564.9411,43221.53539
F08MC_1,F08,9820.566778,1357844.021,312217.7334,30373.93328,235656.7995,464001.719,2841724.404,13015.45333,26203.57829,431266.7219,109881.2874,213186.1957,321269.4056,38783.18927,171775.2957,88134.45061,288848.5609,9399.888516,28031.67604,16892.48272,40519.10597,301289.1748,111265.0829,16167.78326
F08MC_2,F08,12058.73102,830660.6494,194135.5448,27426.55718,130495.143,248744.1493,2919122.439,23687.77347,214091.588,415149.5219,85520.68842,1.06421467,144636.9824,37910.84465,98341.6832,275653.9606,73460.75199,8212.961657,22652.31024,15014.02136,39239.04737,335967.1007,114723.8583,17002.25971
F08MN_1,F08,13302.99024,1384331.817,322016.3253,31923.6692,207256.2746,446364.0003,1776995.15,27342.38906,215950.0738,284560.6106,21886.73595,154039.0472,214735.4375,19139.62688,79952.98912,60477.36,1.009225523,18770.65123,31330.75248,23711.19592,30025.7534,376452.7579,101685.1171,33475.51699
F08MN_2,F08,11574.47536,1257588.471,293127.4738,33419.62077,192490.6567,396403.7401,1911552.738,8212.328081,209240.1083,504933.2774,22295.91183,130654.4948,203110.7797,30916.99952,119669.6464,51099.72039,20336.04901,8397.108232,25188.12875,14710.49748,34920.93107,93670.28944,87434.26173,41382.50152
F08MU_1,F08,3760.382408,2652348.355,622206.3711,103410.49,333614.5507,875696.0443,2633659.489,39290.88595,407407.852,342311.8768,129877.8815,349382.9416,651664.1399,88883.41202,204708.9066,358326.0489,411206.0529,48767.32894,82895.72904,127824.9235,51372.7969,456879.4281,125888.5225,58454.54608
F08MU_2,F08,5747.823231,2045726.69,514169.9372,71404.7714,300170.4898,661305.6869,1988419.205,20282.16104,50043.9593,757047.1923,62001.39634,290636.6552,437858.8799,69915.50812,150724.85,273636.9451,193420.0594,43837.4403,78397.97053,4276.330113,52873.64979,440593.3977,97784.35538,58375.71249
F09AB_1,F09,32288.34763,794585.7188,179431.943,28872.87667,132591.269,277420.3797,3913748.89,28704.98964,98907.20172,732684.8009,84456.92562,75829.06098,38894.11064,39702.11868,94841.69987,63993.77484,134846.5411,5852.602697,11809.47608,16232.64703,22221.00317,316224.7218,112481.7645,22943.35838
F09AB_2,F09,35581.91605,2312552.1,514602.859,39477.14705,322507.9856,705382.3392,2114456.74,28790.55956,60787.60705,748074.3298,85794.20929,26332.60379,114181.4831,41010.73597,186709.1846,218629.2431,564703.6457,16999.00966,59646.06405,89318.16929,68065.74671,582669.8868,249487.7165,65198.23275
F09AC_1,F09,38250.13832,576494.0333,135338.2642,28658.9946,69767.52553,177463.7255,4034657.005,10904.09998,37815.33507,694345.7017,44220.23104,5965.199316,33706.41458,29699.41345,31532.5878,112221.8046,1.017192041,7662.510184,27238.8242,36912.33501,26323.7389,364539.1931,136574.2517,24150.03966
F09AC_2,F09,43007.15014,958423.2767,211224.7008,25676.60344,127758.4789,284818.2478,3879187.19,20937.61526,118843.3638,732532.2216,74442.91842,347770.1916,67467.06554,28383.49732,87811.89793,69153.08087,51548.64171,10776.08322,32794.68558,45990.46274,36575.88634,391417.5259,150530.6909,23148.00174
